AMBIENT_REMOVED_BY_SINK,AMBIENT_SINK_YIELD,DYNAMIC_NET_AMBIENT,DYNAMIC_NET_FRESH,DYNAMIC_NET_INCUMBENT,DYNAMIC_NET_TOTAL,FRESH_AFTER_128,FRESH_AFTER_16,FRESH_AFTER_2048,FRESH_AT_END_OF_FORCE,FRESH_COAST_RETENTION,FRESH_REMOVED_BY_LATER_SINKS,FRESH_SINK_YIELD,FRESH_TERMINAL_RETENTION,FRESH_WASHOUT_FRACTION,GROSS_FRESH_ADDED,GROSS_SINK_REMOVAL,INCUMBENT_REMOVED_BY_SINK,INCUMBENT_SINK_YIELD,M256,OPERATOR_DELTA_AMBIENT,OPERATOR_DELTA_FRESH,OPERATOR_DELTA_INCUMBENT,OPERATOR_DELTA_TOTAL_MASS,arm,block,size
0.0,,65.74602550008358,0.0,-70.41836637531895,-4.67234087523542,,,0.0,,,0.0,,,,0.0,0.0,0.0,,291.75264445429724,-0.0,0.0,-0.0,0.0,SHAM,L32_S990102,32
1.838348081073945,0.028592261129720797,40.35307704374805,-7.469299026847487,-31.128093611143925,1.7556844057562984,60.87588049910003,61.126013343536655,56.8249200205749,60.93598912693322,0.9325346291204902,0.001083542796253447,1.6852596575512322e-05,0.8838113786125921,1.685259657551232e-05,64.29530259021864,64.29530259021863,62.45587096634844,0.971390886273704,291.75264445429724,-1.838348081073945,64.29421904742239,-62.45587096634844,1.4210854715202004e-14,DIRECT_Q100_ANCHOR,L32_S990102,32
2.968656730827795,0.03661639198773089,46.04978981721048,-9.980513474393533,-37.20915094048517,-1.139874597668566,75.07878600437782,75.45766441185738,71.03212116405525,75.32672479595622,0.94298698578049,0.06189427260579775,0.0007634243878703367,0.8761336281334835,0.0007634243878703366,81.07452891105459,81.07452891105457,78.04397790762097,0.9626201836243987,291.75264445429724,-2.968656730827795,81.01263463844879,-78.04397790762097,1.4210854715202004e-14,DIRECT_Q200_UNIFORM,L32_S990102,32
5.794373175611453,0.052068137316711706,56.40262606762273,-15.962361112192099,-41.37029504147519,-0.9300300860443258,98.17939573848668,97.96865501039548,93.45954856895024,97.89820660043718,0.9546604765743777,1.8625240286016884,0.016736608764704588,0.8398258898698692,0.016736608764704588,111.28443370974402,111.28443370974402,103.62753650553076,0.9311952539185826,291.75264445429724,-5.794373175611453,109.42190968114234,-103.62753650553076,0.0,DIRECT_Q400_UNIFORM,L32_S990102,32
14.340741953587088,0.06964088151326316,71.38019376522674,-33.49746538928761,-34.41943281053352,3.463295565405531,121.08616162350884,120.05832398414606,118.24795948623705,119.90055537433015,0.9862169455101046,54.1787627850793,0.26310052937722195,0.5742305497454656,0.26310052937722195,205.92418766060396,205.92418766060396,137.40468292193754,0.6672585891095147,291.75264445429724,-14.340741953587088,151.74542487552466,-137.40468292193754,0.0,DIRECT_Q800_UNIFORM,L32_S990102,32
5.301314350273431,0.05511505394061961,56.629643958101354,-12.474823761121513,-42.31348332287173,1.841336874108066,85.89632900022411,86.09728647877851,83.16973286141229,86.0656762668088,0.9663519357424334,0.5417658291327064,0.0056324622391602805,0.8646731753696578,0.005632462239160282,96.1863224516665,96.18632245166653,90.34324227226044,0.9392524838202206,291.75264445429724,-5.301314350273431,95.6445566225338,-90.34324227226044,-2.842170943040401e-14,DIRECT_Q400_BURST,L32_S990102,32
2.692154967266257,0.020828144966787494,37.70522434277662,0.0,-78.58837421721674,-40.88314987444011,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,129.2556284565505,126.56347348928415,0.9791718550332117,291.75264445429724,-2.692154967266257,0.0,-126.56347348928415,-129.2556284565505,SINK_ONLY_Q800,L32_S990102,32
0.0,,90.09176215119996,-16.63147348209398,-32.89400301145383,40.56628565765146,126.94315753695854,126.88663878889854,125.35679453657903,126.69937391018362,0.9894034253511281,0.0,,0.8828672698514305,0.0,141.988268018673,0.0,0.0,,291.75264445429724,-0.0,141.988268018673,-0.0,141.988268018673,SOURCE_ONLY_Q800,L32_S990102,32
0.0,,66.74618799231077,0.0,-69.90243118387696,-3.156243191566773,,,0.0,,,0.0,,,,0.0,0.0,0.0,,296.32508273609125,-0.0,0.0,-0.0,0.0,SHAM,L32_S990103,32
1.7864861323983916,0.026140031831768145,37.683203972963746,-8.569497085365931,-33.03049084681676,-3.9167839592193445,64.06118410476776,64.25822609589645,59.771454908511195,64.06839127490703,0.932932039015021,0.001969081959660998,2.8811791018941147e-05,0.8745815070179067,2.8811791018941147e-05,68.34292107583678,68.34292107583678,66.5544658614787,0.9738311563772125,296.32508273609125,-1.7864861323983916,68.34095199387713,-66.5544658614787,0.0,DIRECT_Q100_ANCHOR,L32_S990103,32
2.778526350883968,0.032231545763237716,43.41322601048714,-11.500424296667049,-38.40653389656427,-6.493732182744168,79.6738442180055,79.78560415413243,74.60908412063854,79.64900731857854,0.9367233394663488,0.09567613369623237,0.0011098651919204143,0.8654825635979858,0.0011098651919204143,86.20518455100182,86.20518455100182,83.33098206642157,0.9666585890448413,296.32508273609125,-2.778526350883968,86.10950841730559,-83.33098206642157,0.0,DIRECT_Q200_UNIFORM,L32_S990103,32
