L,seed,arm,injection,contact,capture,incorporation_16,durable_128,capture_le_contact,inc16_le_capture,d128_le_inc16,contact_le_injection,direct_dynamic_capture_is_zero
32,980102,D2_REDESIGNED_Q100,26.662978631346103,9.192303180831733,10.810410100083663,21.731227718334324,19.93884104846969,False,False,True,True,True
32,980102,DIRECT_INTERFACE_Q100,73.38413031010222,6.799673656887974,14.20720571146136,69.66600238303339,69.33348106626853,False,False,True,True,False
32,980103,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980103,D1_LEGACY_Q005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980103,D1_REDESIGNED_Q005,7.4783236119125425,3.5825497255478567,3.4743373394723123,3.9716883887314016,3.9633115289240606,True,False,True,True,True
32,980103,D2_REDESIGNED_Q005,14.792911931490673,8.800597168002163,5.0444624545613275,6.451011106645976,6.339169509024296,True,False,True,True,True
32,980103,D2_REDESIGNED_Q020,22.85138850005634,11.422122746084138,8.594278924355269,11.970926876404032,11.85805953769001,True,False,True,True,True
32,980103,D2_REDESIGNED_Q050,25.37969832177714,9.597120608066213,10.128416699288218,18.637798062140348,16.909315329219492,False,False,True,True,True
32,980103,D2_REDESIGNED_Q100,26.177861018969608,10.073597935549515,10.58239651258488,20.70606890792313,18.4203360665535,False,False,True,True,True
32,980103,DIRECT_INTERFACE_Q100,69.28882943892425,6.8306646466698515,13.175928463982991,65.16215132708503,65.05930324460307,False,False,True,True,False
32,980104,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980104,D1_LEGACY_Q005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980104,D1_REDESIGNED_Q005,6.57187079584667,3.27645228595145,2.883984446218858,3.375316903600817,3.3647739686209617,True,False,True,True,True
32,980104,D2_REDESIGNED_Q005,14.785453241346183,8.72705591047727,5.101103381734906,6.745534848953879,6.460562967601051,True,False,True,True,True
32,980104,D2_REDESIGNED_Q020,20.778741792224682,9.590878906874165,7.875619628635608,10.698136523334828,10.638841013336016,True,False,True,True,True
32,980104,D2_REDESIGNED_Q050,22.66745610594174,9.06770154812517,8.726825107168683,14.927002403971201,13.079146251462879,True,False,True,True,True
32,980104,D2_REDESIGNED_Q100,24.47359907494779,7.884075914464774,9.950316565439277,18.28734737665905,16.46384345477786,False,False,True,True,True
32,980104,DIRECT_INTERFACE_Q100,66.25409090391788,6.180015463536405,13.566002957526335,62.43811063190442,62.24350185121379,False,False,True,True,False
