law_index,condition,seed,n_meas,sum_P,sum_M,sum_PP,sum_MM,sum_PM,mean_P,mean_M,mean_turnover,probe_count,cross_cadence_endpoints,eligible_seed,n_tracks,long_tracks,mean_track_obs,max_track_obs,censored_tracks,births,splits,merges,ambiguous
10,OFF,7002,1036,904.23283668723,907.0681138984098,797.2294663141903,836.3824682918084,804.4580896458885,0.8728116184239672,0.8755483724888126,0.12445162751118659,9,0,False,40,16,10.925,61,28,40,6,8,0
10,OFF,7003,1496,1331.1311027477257,1351.798653679394,1194.672839527456,1262.242109104014,1217.5186311563498,0.8897935178794958,0.9036087257215201,0.09639127427848082,13,0,False,47,23,13.319148936170214,61,29,47,4,8,0
10,ON,7001,113,80.37456587656304,85.76247742951908,59.2910039770906,70.83263647399909,63.30018498649136,0.7112793440403808,0.7589599772523813,0.24104002274761863,1,0,False,119,3,1.6554621848739495,10,116,119,1,0,0
10,ON,7002,133,93.52423664520997,103.65227235938937,68.0355542884057,86.07349188432495,75.05440725324907,0.703189749212105,0.7793403936796194,0.2206596063203808,1,0,False,91,2,1.89010989010989,20,88,91,1,0,0
10,ON,7003,127,82.81198828344198,84.7185385332856,57.1135024070299,63.880769208364875,58.29621083743157,0.6520628998696218,0.6670751065613039,0.33292489343869625,0,0,False,105,1,1.7904761904761906,18,96,105,1,0,0
11,OFF,7001,942,768.4154618758678,813.1116163795442,634.5422496931208,736.5517232232022,674.1304106286309,0.8157276665348915,0.8631758135663952,0.13682418643360403,2,0,False,65,13,6.861538461538461,61,56,65,6,11,4
11,OFF,7002,836,667.5601476362793,674.9644469921391,542.408180039367,593.3173661973394,553.7079153926593,0.7985169230099035,0.807373740421219,0.1926262595787807,17,0,False,80,13,5.525,58,74,80,6,14,6
11,OFF,7003,1041,860.8238591970127,900.9175384920846,722.7503128252253,823.8503760145281,759.1564932291527,0.8269201337147096,0.8654347151701102,0.13456528482988792,11,0,False,65,19,7.384615384615385,61,53,65,6,14,4
11,ON,7001,853,682.4966407065331,745.4002860361002,556.6422186926408,693.2666029485692,609.1770387770098,0.8001132950838605,0.8738573107105512,0.12614268928944805,6,0,False,96,14,4.6875,54,81,96,8,7,5
11,ON,7002,579,451.05003955304596,475.8735641030536,360.15774695472163,426.71316149657116,383.05364480489783,0.7790156123541381,0.8218887117496607,0.17811128825034,3,0,False,98,15,4.010204081632653,31,86,98,4,9,1
11,ON,7003,668,523.0086599398082,575.0839298298453,418.6992907095074,528.2372908881191,461.10598779340165,0.7829470957182758,0.8609040865716246,0.1390959134283767,2,0,False,93,9,4.204301075268817,39,84,93,3,6,0
