law_index,condition,seed,n_meas,mean_P,mean_M,min_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_abs_circulation,total_mass_drift,exchange_rate
35,OFF,8002,83,0.9922831651796898,0.9975703856932582,0.9940369705822194,0,False,1,31,1,0.0003240686171045978,1.1145341302275127e-16,0.0
35,OFF,8003,100,0.9760914999454506,0.9823481167313953,0.855236247886927,0,False,2,31,2,0.0001639996450635183,1.4287165342613857e-16,0.0
35,ON,8001,273,0.9767571686363776,0.9163607208562453,0.35346654409891853,3,True,16,30,7,0.000380447847872011,1.2641924930456781e-16,0.7376181474480151
35,ON,8002,604,0.9821950693518293,0.9368438254867921,0.17184599824800326,0,False,14,29,10,0.00042282963012493595,2.2290682604550254e-16,0.7376181474480151
35,ON,8003,318,0.9810130904657185,0.9311186061471933,0.3880921237377658,1,False,6,29,5,0.0005598851389360667,1.4287165342613857e-16,0.7376181474480151
36,OFF,8001,83,0.9888718004244791,0.9901536394204411,0.966338905516003,0,False,1,31,1,0.0001356750130910725,1.230084601588397e-16,0.0
36,OFF,8002,83,0.9830803398726803,0.9932638714427907,0.9764228491253376,0,False,1,31,1,1.4805811094804584e-05,2.168928037588092e-16,0.0
36,OFF,8003,83,0.9817524864910632,0.9898702027701695,0.9625024218065058,0,False,1,31,1,6.82685188383036e-05,2.780339574071766e-16,0.0
36,ON,8001,94,0.9779400496511957,0.9457096438637799,0.6903932824355922,0,False,4,30,1,0.00025046875499949126,2.460169203176794e-16,0.7702268431001891
36,ON,8002,169,0.9567726918050654,0.9023036675546587,0.27885604595404345,2,True,12,22,7,0.00016307596051714222,4.337856075176184e-16,0.7702268431001891
36,ON,8003,134,0.9445554378278694,0.8980807299167571,0.16084437171332758,2,True,6,19,4,0.00016101991577895268,2.780339574071766e-16,0.7702268431001891
37,OFF,8001,83,0.988924206675511,0.9902240371949688,0.9669863230355566,0,False,1,31,1,0.0002286706625916423,1.197768819682261e-16,0.0
37,OFF,8002,83,0.9823960701558532,0.9930543630874699,0.9760413672824495,0,False,1,31,1,2.9174602293786218e-05,0.0,0.0
37,OFF,8003,83,0.9816597025146886,0.989670237735455,0.9616547579604332,0,False,1,31,1,0.00015143449269816036,0.0,0.0
37,ON,8001,83,0.9792479194527711,0.9206656978412169,0.6273337230101109,0,False,1,31,1,8.44510301515512e-05,3.5933064590467825e-16,0.054253308128544425
37,ON,8002,83,0.9862174256371157,0.9200021634650976,0.5835017067773641,0,False,1,31,1,0.00025591161288024704,2.1119477247362019e-16,0.054253308128544425
37,ON,8003,83,0.971982272505985,0.9099222294951864,0.6063873474608503,0,False,1,31,1,6.660166734430617e-05,1.3536483773764655e-16,0.054253308128544425
38,OFF,8001,83,0.9885672707310297,0.9897707227777389,0.9632731039295201,0,False,1,31,1,0.00018916272217294334,2.3342150408341337e-16,0.0
38,OFF,8002,83,0.9829877520859882,0.9927860403247086,0.9741471183932613,0,False,1,31,1,3.300193041217152e-05,0.0,0.0
38,OFF,8003,83,0.9826300857815984,0.9890517091911345,0.9601194757823263,0,False,1,31,1,0.00013159977865912943,0.0,0.0
38,ON,8001,2152,0.972684630261579,0.8784507216483816,0.0773260835431764,50,True,55,29,39,8.998449079736543e-05,1.1671075204170669e-16,0.08686200378071834
38,ON,8002,1774,0.9662108356969138,0.8700917430199736,0.1788056800103459,35,True,55,26,37,0.00011441201197025273,0.0,0.08686200378071834
38,ON,8003,1261,0.9619675854738166,0.8660381178476773,0.15824414267425696,27,True,47,27,26,0.0001350612472204639,1.318996767385821e-16,0.08686200378071834
39,OFF,8001,83,0.9897774266352486,0.9901613772783644,0.9667463214346257,0,False,1,31,1,0.0006052082175311283,2.2759536348229757e-16,0.0
39,OFF,8002,83,0.9842982586239686,0.9928660993270167,0.9754347583943411,0,False,1,31,1,0.00011311682419669629,0.0,0.0
