law_index,seed,n_meas,mean_P,mean_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_abs_circulation,mean_entity_mass,mean_entities_per_snapshot
191,8001,83,0.9911168803923198,0.992824605135276,0,False,1,31,1,0.0003415821941434004,938.4737018219807,1.0
191,8002,83,0.987468994424167,0.9943389427466153,0,False,1,31,1,2.980170174909571e-05,1103.3560639958848,1.0
191,8003,83,0.9869054826026339,0.9916364689072137,0,False,1,31,1,0.00019966422431014812,829.8962929481265,1.0
192,8001,83,0.9903053536223761,0.9902267836410626,0,False,1,31,1,0.00013838004433065337,936.949615298601,1.0
192,8002,83,0.9887940991206366,0.9930501362073888,0,False,1,31,1,3.4042737159989284e-05,1102.764724127031,1.0
192,8003,85,0.9657329633993602,0.9679288875321572,0,False,2,31,1,6.793314684350166e-05,757.4763193845121,1.096774193548387
193,8001,83,0.990793471936838,0.9903631314417835,0,False,1,31,1,0.0002522257272897226,938.80713960403,1.0
193,8002,83,0.99042802051396,0.9931528570824172,0,False,1,31,1,2.8389506614633347e-05,1104.3274694802922,1.0
193,8003,83,0.9895823659005172,0.9894689112994668,0,False,1,31,1,9.965885193444953e-05,832.7813716141451,1.0
194,8001,83,0.9914378188744084,0.9876631324894293,0,False,1,31,1,0.00013955142759918722,937.0740880173474,1.0
194,8002,83,0.9929809520510827,0.9918697081430486,0,False,1,31,1,0.00013312008551438824,1101.6882996413997,1.0
194,8003,151,0.9847910465485381,0.9766657188044192,0,False,2,31,2,8.238746364666209e-05,452.3275689381094,1.8387096774193548
195,8001,83,0.9930272333935508,0.9902823693333691,0,False,1,31,1,0.00077745330226706,934.7796948505737,1.0
195,8002,83,0.9952753181545616,0.993001284099914,0,False,1,31,1,0.00029101742355131996,1101.2899653157956,1.0
195,8003,83,0.9935599847105161,0.989248688084099,0,False,1,31,1,0.00022236714779600285,830.5065626906257,1.0
196,8001,83,0.9903403556721166,0.9890601753030328,0,False,1,31,1,0.00014535237573709483,962.9282012456572,1.0
196,8002,83,0.9890746396725131,0.9927326531969309,0,False,1,31,1,6.327873225794236e-05,1118.845065943663,1.0
196,8003,83,0.9880653298256898,0.9886961477194667,0,False,1,31,1,8.135766386500598e-05,851.9137998036337,1.0
197,8001,83,0.9913768989985566,0.9893827107617874,0,False,1,31,1,0.0006475331024907473,964.3212906191513,1.0
197,8002,83,0.9908357903042508,0.9926998366728361,0,False,1,31,1,0.0004368714251421027,1121.4299529153218,1.0
197,8003,83,0.9906953737931004,0.9889230415892664,0,False,1,31,1,0.0001793532141288202,852.4531349301147,1.0
198,8001,83,0.9912520544463694,0.9884850612537908,0,False,1,31,1,0.0006506647822883073,963.3736738636229,1.0
198,8002,83,0.9940632426357392,0.9922337455490862,0,False,1,31,1,0.0003592692359497741,1119.8596006195796,1.0
