track_id,start_step,end_step,start_time,end_time,tau,phenotype_continuity,material_retention,start_count,end_count,interval_has_ambiguity,interval_has_split_or_merge,unresolved_sparse_alias_risk,law_index,seed,snapshot_cadence,track_observations,track_ever_complex,clean_probe_cadence_count_same_endpoint,interval_observations,centroid_path_length,centroid_net_displacement,centroid_step_distance_mean,centroid_step_distance_max,start_material_count,end_material_count,retained_material_count,lost_material_count,gained_material_count,recomputed_material_retention,material_retention_absolute_error,descriptor_rms_change,recomputed_phenotype_continuity,phenotype_continuity_absolute_error,selected_edge_transitions,selected_centroid_distance_mean,selected_centroid_distance_max,compatible_unselected_edges,selected_score_margin_min,selected_classifications_json,static_occupancy_or_lookalike_alias_rejected,direct_audit_disposition
0,120,300,2.4,6.0,3.6,0.8785580826055678,0.3333333333333333,8,8,False,False,True,12,2003,60,11,False,2,4,0.28944864389029146,0.23906440145580274,0.09648288129676381,0.15250134490688536,8,8,4,4,4,0.3333333333333333,0.0,0.12947325788251213,0.8785580826055678,0.0,3,0.09648288129676379,0.15250134490688533,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
0,180,360,3.6,7.2,3.6,0.8748027902095995,0.4444444444444444,6,7,False,False,True,12,2003,30,21,False,2,7,0.5014096888339205,0.164312972949738,0.08356828147232008,0.14148570531351137,6,7,4,2,3,0.4444444444444444,0.0,0.13375680064460221,0.8748027902095995,0.0,6,0.08356828147232005,0.14148570531351135,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
0,180,360,3.6,7.2,3.6,0.8748027902095995,0.4444444444444444,6,7,False,False,True,12,2003,60,11,False,2,4,0.4073295111885343,0.164312972949738,0.13577650372951142,0.15250134490688536,6,7,4,2,3,0.4444444444444444,0.0,0.13375680064460221,0.8748027902095995,0.0,3,0.13577650372951142,0.15250134490688533,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
4,0,180,0.0,3.6,3.6,0.8320905793129572,0.3333333333333333,4,8,False,False,True,35,2002,30,21,False,2,7,0.13413041674907716,0.09199412087969881,0.022355069458179527,0.03986111311633532,4,8,3,1,5,0.3333333333333333,0.0,0.1838139747202328,0.8320905793129572,0.0,6,0.022355069458179527,0.03986111311633532,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
4,0,180,0.0,3.6,3.6,0.8320905793129572,0.3333333333333333,4,8,False,False,True,35,2002,60,11,False,2,4,0.10549963806093438,0.09199412087969881,0.03516654602031146,0.05327860904826806,4,8,3,1,5,0.3333333333333333,0.0,0.1838139747202328,0.8320905793129572,0.0,3,0.03516654602031146,0.05327860904826806,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
3,360,540,7.2,10.8,3.6000000000000005,0.8534860363399287,0.45454545454545453,10,22,False,False,True,35,2003,30,21,False,2,7,0.26171960337225836,0.14751604556895814,0.043619933895376405,0.06940884433239537,10,22,10,0,12,0.45454545454545453,0.0,0.15842609735021765,0.8534860363399287,0.0,6,0.043619933895376405,0.06940884433239537,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
3,360,540,7.2,10.8,3.6000000000000005,0.8534860363399287,0.45454545454545453,10,22,False,False,True,35,2003,60,11,False,2,4,0.1971476754904204,0.14751604556895814,0.06571589183014014,0.0953202207338028,10,22,10,0,12,0.45454545454545453,0.0,0.15842609735021765,0.8534860363399287,0.0,3,0.06571589183014014,0.0953202207338028,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
11,60,120,1.2,2.4,1.2,0.8257854589893185,0.1,4,7,False,False,True,52,2001,10,56,False,2,7,0.29735636106110597,0.19954769876432524,0.04955939351018432,0.14531853814636655,4,7,1,3,6,0.1,0.0,0.1914202740778644,0.8257854589893185,0.0,6,0.04955939351018432,0.14531853814636655,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
7,60,120,1.2,2.4,1.2,0.8303603820873814,0.3333333333333333,4,4,False,False,True,52,2001,60,10,False,2,2,0.09571779194501079,0.09571779194501079,0.09571779194501079,0.09571779194501079,4,4,2,2,2,0.3333333333333333,0.0,0.1858954771409882,0.8303603820873814,0.0,1,0.09571779194501079,0.09571779194501079,0,,"{""unique_candidate"": 1}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
10,120,300,2.4,6.0,3.6,0.8310983012515477,0.42857142857142855,4,6,False,False,True,52,2001,30,17,False,2,7,0.22277449398985072,0.20104664542173778,0.037129082331641784,0.09507043597405074,4,6,3,1,3,0.42857142857142855,0.0,0.1850071984012437,0.8310983012515477,0.0,6,0.03712908233164178,0.09507043597405071,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
