law_index,seed,snapshot_cadence,tracks,mean_track_observations,median_track_observations,mean_lifetime_steps,median_lifetime_steps,complex_tracks,birth_events,disappearance_events,continuity_events,split_events,merge_events,ambiguity_events
18,2001,10,118,2.4237288135593222,2.0,14.23728813559322,10.0,27,118,115,168,7,8,3
18,2001,30,63,1.5873015873015872,1.0,17.61904761904762,0.0,6,63,60,37,2,1,0
18,2001,60,36,1.5555555555555556,1.0,33.333333333333336,0.0,3,36,33,20,0,1,1
18,2002,10,122,2.6721311475409837,2.0,16.721311475409838,10.0,34,122,117,204,8,13,2
18,2002,30,72,1.5694444444444444,1.0,17.083333333333332,0.0,4,72,67,41,2,0,0
18,2002,60,39,1.435897435897436,1.0,26.153846153846153,0.0,2,39,34,17,0,1,0
18,2003,10,110,2.5636363636363635,2.0,15.636363636363637,10.0,19,110,103,172,7,6,0
18,2003,30,59,1.7457627118644068,1.0,22.372881355932204,0.0,4,59,52,44,0,1,1
18,2003,60,34,1.6470588235294117,1.0,38.8235294117647,0.0,2,34,27,22,0,1,0
19,2001,10,15,22.866666666666667,8.0,218.66666666666666,70.0,6,15,9,328,1,3,0
19,2001,30,10,12.0,11.5,330.0,315.0,3,10,4,110,0,2,0
19,2001,60,9,6.888888888888889,8.0,353.3333333333333,420.0,2,9,3,53,0,1,0
19,2002,10,19,23.63157894736842,4.0,226.31578947368422,30.0,4,19,12,430,1,1,0
19,2002,30,13,12.0,18.0,330.0,510.0,2,13,6,143,0,1,0
19,2002,60,13,6.3076923076923075,9.0,318.46153846153845,480.0,2,13,6,69,0,1,0
19,2003,10,18,22.72222222222222,7.0,217.22222222222223,60.0,9,18,12,391,2,3,0
19,2003,30,12,11.75,15.0,322.5,420.0,4,12,6,129,0,2,0
19,2003,60,13,5.6923076923076925,7.0,281.53846153846155,360.0,2,13,7,61,0,1,0
20,2001,10,71,3.591549295774648,2.0,25.91549295774648,10.0,16,71,66,184,4,4,0
20,2001,30,56,1.6071428571428572,1.0,18.214285714285715,0.0,0,56,51,34,0,0,0
20,2001,60,35,1.4285714285714286,1.0,25.714285714285715,0.0,2,35,30,15,1,0,0
20,2002,10,67,3.4776119402985075,2.0,24.776119402985074,10.0,9,67,64,166,1,2,3
20,2002,30,40,1.8,1.0,24.0,0.0,4,40,37,32,0,1,1
20,2002,60,27,1.3333333333333333,1.0,20.0,0.0,0,27,24,9,0,0,0
20,2003,10,88,3.6363636363636362,2.0,26.363636363636363,10.0,29,88,83,232,6,10,1
20,2003,30,64,1.78125,1.0,23.4375,0.0,4,64,59,50,1,1,0
20,2003,60,42,1.4523809523809523,1.0,27.142857142857142,0.0,0,42,37,19,0,0,0
21,2001,10,34,5.470588235294118,3.0,44.705882352941174,20.0,6,34,32,152,2,1,0
21,2001,30,27,2.5555555555555554,2.0,46.666666666666664,30.0,4,27,25,42,0,2,0
21,2001,60,19,2.0,1.0,60.0,0.0,0,19,17,19,0,0,0
21,2002,10,17,6.0,2.0,50.0,10.0,5,17,16,85,0,3,0
21,2002,30,16,2.25,1.0,37.5,0.0,2,16,15,20,0,1,0
21,2002,60,14,1.4285714285714286,1.0,25.714285714285715,0.0,0,14,13,6,0,0,0
21,2003,10,28,7.535714285714286,2.0,65.35714285714286,10.0,10,28,26,183,3,3,0
21,2003,30,26,2.8461538461538463,1.0,55.38461538461539,0.0,2,26,24,48,0,1,1
21,2003,60,23,1.608695652173913,1.0,36.52173913043478,0.0,0,23,21,14,0,0,0
22,2001,10,96,2.5208333333333335,1.0,15.208333333333334,0.0,12,96,93,146,1,4,1
22,2001,30,56,1.4107142857142858,1.0,12.321428571428571,0.0,0,56,53,23,0,0,0
22,2001,60,36,1.1944444444444444,1.0,11.666666666666666,0.0,0,36,33,7,0,0,0
22,2002,10,100,2.48,2.0,14.8,10.0,25,100,95,148,8,6,0
22,2002,30,59,1.4406779661016949,1.0,13.220338983050848,0.0,2,59,54,26,0,0,1
22,2002,60,34,1.2941176470588236,1.0,17.647058823529413,0.0,0,34,29,10,0,0,0
22,2003,10,104,2.6826923076923075,2.0,16.826923076923077,10.0,19,104,101,175,4,7,0
22,2003,30,69,1.4202898550724639,1.0,12.608695652173912,0.0,2,69,66,29,1,0,0
22,2003,60,37,1.3243243243243243,1.0,19.45945945945946,0.0,0,37,34,12,0,0,0
23,2001,10,35,5.457142857142857,2.0,44.57142857142857,10.0,6,35,32,156,1,3,0
23,2001,30,30,2.1666666666666665,2.0,35.0,30.0,2,30,27,35,0,1,0
23,2001,60,22,1.4545454545454546,1.0,27.272727272727273,0.0,0,22,19,10,0,0,0
23,2002,10,50,4.64,2.0,36.4,10.0,9,50,46,182,3,2,1
23,2002,30,48,1.7291666666666667,1.0,21.875,0.0,2,48,44,35,1,0,0
23,2002,60,33,1.2727272727272727,1.0,16.363636363636363,0.0,2,33,29,9,0,1,0
23,2003,10,66,3.4242424242424243,2.0,24.242424242424242,10.0,12,66,62,160,3,4,0
23,2003,30,47,1.5957446808510638,1.0,17.872340425531913,0.0,4,47,43,28,2,0,0
23,2003,60,31,1.2258064516129032,1.0,13.548387096774194,0.0,0,31,27,7,0,0,0
24,2001,10,128,2.546875,2.0,15.46875,10.0,30,128,122,198,8,8,3
24,2001,30,72,1.4583333333333333,1.0,13.75,0.0,5,72,66,33,3,0,1
24,2001,60,39,1.4615384615384615,1.0,27.692307692307693,0.0,2,39,33,18,0,1,0
24,2002,10,129,2.395348837209302,2.0,13.953488372093023,10.0,22,129,124,180,6,4,2
24,2002,30,71,1.3943661971830985,1.0,11.830985915492958,0.0,2,71,66,28,1,0,0
24,2002,60,39,1.2564102564102564,1.0,15.384615384615385,0.0,0,39,34,10,0,0,0
24,2003,10,115,2.5652173913043477,2.0,15.652173913043478,10.0,15,115,110,180,5,3,0
24,2003,30,66,1.5606060606060606,1.0,16.818181818181817,0.0,4,66,61,37,0,2,0
24,2003,60,38,1.4473684210526316,1.0,26.842105263157894,0.0,4,38,33,17,1,1,0
25,2001,10,23,15.217391304347826,3.0,142.17391304347825,20.0,12,23,17,327,5,3,1
25,2001,30,11,10.909090909090908,14.0,297.27272727272725,390.0,3,11,5,109,1,1,0
25,2001,60,12,5.166666666666667,4.5,250.0,210.0,5,12,6,50,3,1,0
