track_id,start_step,end_step,start_time,end_time,tau,phenotype_continuity,material_retention,start_count,end_count,interval_has_ambiguity,interval_has_split_or_merge,unresolved_sparse_alias_risk,law_index,seed,snapshot_cadence,track_observations,track_ever_complex,clean_probe_cadence_count_same_endpoint,eligible_seed_count_for_law,eligible_law
8,0,180,0.0,3.6,3.6,0.8414184019004922,0.4666666666666667,11,11,False,False,True,126,2002,30,21,False,2,1,False
0,0,180,0.0,3.6,3.6,0.8098519334766988,0.375,4,7,False,False,True,126,2002,60,11,False,2,1,False
4,0,180,0.0,3.6,3.6,0.865488214820849,0.42857142857142855,6,4,False,False,True,126,2002,60,11,False,2,1,False
8,0,180,0.0,3.6,3.6,0.8414184019004922,0.4666666666666667,11,11,False,False,True,126,2002,60,11,False,2,1,False
29,570,600,11.4,12.0,0.5999999999999996,0.8072819050000551,0.15,17,6,False,False,True,129,2001,10,40,False,2,1,False
22,570,600,11.4,12.0,0.5999999999999996,0.8072819050000551,0.15,17,6,False,False,True,129,2001,30,14,False,2,1,False
5,0,180,0.0,3.6,3.6,0.8053816211827515,0.3333333333333333,9,7,False,False,True,130,2003,30,21,False,2,1,False
5,0,180,0.0,3.6,3.6,0.8053816211827515,0.3333333333333333,9,7,False,False,True,130,2003,60,11,False,2,1,False
11,60,90,1.2,1.8,0.6000000000000001,0.807717689496994,0.3333333333333333,4,4,False,False,True,131,2001,10,56,False,2,1,False
10,60,90,1.2,1.8,0.6000000000000001,0.807717689496994,0.3333333333333333,4,4,False,False,True,131,2001,30,19,False,2,1,False
0,0,180,0.0,3.6,3.6,0.8352556023663105,0.45454545454545453,8,8,False,False,True,136,2003,30,21,False,2,1,False
0,0,180,0.0,3.6,3.6,0.8352556023663105,0.45454545454545453,8,8,False,False,True,136,2003,60,11,False,2,1,False
1,60,240,1.2,4.8,3.5999999999999996,0.8365821370585899,0.37037037037037035,12,25,False,False,True,136,2003,30,21,False,2,1,False
1,60,240,1.2,4.8,3.5999999999999996,0.8365821370585899,0.37037037037037035,12,25,False,False,True,136,2003,60,11,False,2,1,False
15,60,120,1.2,2.4,1.2,0.8058399643588561,0.375,4,7,False,False,True,139,2003,10,55,False,2,1,False
9,60,120,1.2,2.4,1.2,0.8058399643588561,0.375,4,7,False,False,True,139,2003,60,10,False,2,1,False
10,180,360,3.6,7.2,3.6,0.894436999001582,0.42857142857142855,6,14,False,False,True,141,2001,30,16,False,2,1,False
8,180,360,3.6,7.2,3.6,0.894436999001582,0.42857142857142855,6,14,False,False,True,141,2001,60,8,False,2,1,False
6,0,30,0.0,0.6,0.6,0.8044148824196643,0.42857142857142855,5,5,False,False,True,155,2003,10,23,False,2,1,False
6,0,30,0.0,0.6,0.6,0.8044148824196643,0.42857142857142855,5,5,False,False,True,155,2003,30,8,False,2,1,False
7,0,30,0.0,0.6,0.6,0.8091933470454821,0.3076923076923077,7,10,False,False,True,155,2003,30,13,False,2,1,False
7,60,240,1.2,4.8,3.5999999999999996,0.8404557191489175,0.4,5,9,False,False,True,155,2003,30,13,False,2,1,False
7,60,240,1.2,4.8,3.5999999999999996,0.8404557191489175,0.4,5,9,False,False,True,155,2003,60,11,False,2,1,False
18,180,360,3.6,7.2,3.6,0.8069830840761791,0.2857142857142857,5,4,False,False,True,156,2001,30,15,False,2,1,False
14,180,360,3.6,7.2,3.6,0.8069830840761791,0.2857142857142857,5,4,False,False,True,156,2001,60,8,False,2,1,False
7,90,120,1.8,2.4,0.5999999999999999,0.8492567632439717,0.38461538461538464,7,11,False,False,True,157,2002,10,58,False,2,1,False
7,90,120,1.8,2.4,0.5999999999999999,0.8492567632439717,0.38461538461538464,7,11,False,False,True,157,2002,30,20,False,2,1,False
9,90,120,1.8,2.4,0.5999999999999999,0.8091775287721328,0.42857142857142855,17,13,False,False,True,161,2001,10,10,False,2,1,False
2,90,120,1.8,2.4,0.5999999999999999,0.8056847504610668,0.4,6,8,False,False,True,161,2001,30,9,False,2,1,False
27,240,270,4.8,5.4,0.6000000000000005,0.8622469389239452,0.4166666666666667,9,8,False,False,True,168,2003,10,43,False,2,1,False
15,240,270,4.8,5.4,0.6000000000000005,0.8622469389239452,0.4166666666666667,9,8,False,False,True,168,2003,30,15,False,2,1,False
9,60,240,1.2,4.8,3.5999999999999996,0.8339821628143702,0.4,5,9,False,False,True,173,2001,30,20,False,2,1,False
8,60,240,1.2,4.8,3.5999999999999996,0.8339821628143702,0.4,5,9,False,False,True,173,2001,60,10,False,2,1,False
1,60,240,1.2,4.8,3.5999999999999996,0.8728064708005193,0.43478260869565216,11,22,False,False,True,181,2001,30,21,False,2,1,False
1,60,240,1.2,4.8,3.5999999999999996,0.8728064708005193,0.43478260869565216,11,22,False,False,True,181,2001,60,11,False,2,1,False
1,120,300,2.4,6.0,3.6,0.9028102421580607,0.45454545454545453,11,21,False,False,True,181,2001,30,21,False,2,1,False
1,120,300,2.4,6.0,3.6,0.9028102421580607,0.45454545454545453,11,21,False,False,True,181,2001,60,11,False,2,1,False
2,60,240,1.2,4.8,3.5999999999999996,0.8602946266874519,0.3333333333333333,16,40,False,False,True,183,2001,30,21,False,2,1,False
2,60,240,1.2,4.8,3.5999999999999996,0.8602946266874519,0.3333333333333333,16,40,False,False,True,183,2001,60,11,False,2,1,False
1,60,240,1.2,4.8,3.5999999999999996,0.8379618435382529,0.3953488372093023,17,43,False,False,True,186,2002,30,21,False,2,1,False
1,60,240,1.2,4.8,3.5999999999999996,0.8379618435382529,0.3953488372093023,17,43,False,False,True,186,2002,60,11,False,2,1,False
5,60,240,1.2,4.8,3.5999999999999996,0.8425271120481869,0.45454545454545453,12,20,False,False,True,189,2003,30,20,False,2,1,False
0,60,240,1.2,4.8,3.5999999999999996,0.8425271120481869,0.45454545454545453,12,20,False,False,True,189,2003,60,11,False,2,1,False
19,180,210,3.6,4.2,0.6000000000000001,0.8593488798519654,0.42857142857142855,4,6,False,False,True,198,2001,10,45,False,2,1,False
12,180,210,3.6,4.2,0.6000000000000001,0.8593488798519654,0.42857142857142855,4,6,False,False,True,198,2001,30,15,False,2,1,False
19,360,420,7.2,8.4,1.2000000000000002,0.8458636039976896,0.42857142857142855,5,5,False,False,True,198,2001,10,45,False,2,1,False
9,360,420,7.2,8.4,1.2000000000000002,0.8458636039976896,0.42857142857142855,5,5,False,False,True,198,2001,60,9,False,2,1,False
6,60,240,1.2,4.8,3.5999999999999996,0.8167273784374961,0.42857142857142855,4,6,False,False,True,202,2003,30,19,False,2,1,False
6,60,240,1.2,4.8,3.5999999999999996,0.8167273784374961,0.42857142857142855,4,6,False,False,True,202,2003,60,10,False,2,1,False
12,300,480,6.0,9.6,3.5999999999999996,0.8970039010208468,0.36363636363636365,4,11,False,False,True,205,2003,30,15,False,2,1,False
10,300,480,6.0,9.6,3.5999999999999996,0.8970039010208468,0.36363636363636365,4,11,False,False,True,205,2003,60,8,False,2,1,False
1,0,180,0.0,3.6,3.6,0.9234458720807455,0.4444444444444444,4,9,False,False,True,209,2001,30,21,False,2,2,True
1,0,180,0.0,3.6,3.6,0.9234458720807455,0.4444444444444444,4,9,False,False,True,209,2001,60,11,False,2,2,True
5,0,180,0.0,3.6,3.6,0.8203199744872576,0.4,4,10,False,False,True,209,2003,30,21,False,2,2,True
5,0,180,0.0,3.6,3.6,0.8203199744872576,0.4,4,10,False,False,True,209,2003,60,11,False,2,2,True
3,60,240,1.2,4.8,3.5999999999999996,0.8607133794591859,0.35294117647058826,15,8,False,False,True,211,2003,30,9,False,2,1,False
3,60,240,1.2,4.8,3.5999999999999996,0.8607133794591859,0.35294117647058826,15,8,False,False,True,211,2003,60,11,False,2,1,False
14,120,180,2.4,3.6,1.2000000000000002,0.8445572460368295,0.43333333333333335,15,28,False,False,True,218,2003,10,49,False,2,1,False
7,120,180,2.4,3.6,1.2000000000000002,0.8445572460368295,0.43333333333333335,15,28,False,False,True,218,2003,60,10,False,2,1,False
0,60,120,1.2,2.4,1.2,0.8182297587169921,0.4230769230769231,14,23,False,False,True,221,2002,10,61,False,2,1,False
6,60,120,1.2,2.4,1.2,0.8438158229732122,0.28,9,23,False,False,True,221,2002,60,10,False,2,1,False
38,240,300,4.8,6.0,1.2000000000000002,0.8280920433920559,0.4,7,7,False,False,True,224,2001,10,11,False,2,1,False
8,240,300,4.8,6.0,1.2000000000000002,0.8677796842529595,0.1875,10,9,False,False,True,224,2001,60,8,False,2,1,False
25,150,180,3.0,3.6,0.6000000000000001,0.8115599707219723,0.45454545454545453,24,24,False,False,True,225,2002,10,50,False,2,2,True
1,150,180,3.0,3.6,0.6000000000000001,0.8115599707219723,0.45454545454545453,24,24,False,False,True,225,2002,30,21,False,2,2,True
2,0,180,0.0,3.6,3.6,0.8557118760811389,0.36363636363636365,5,10,False,False,True,225,2003,30,21,False,2,2,True
2,0,180,0.0,3.6,3.6,0.8557118760811389,0.36363636363636365,5,10,False,False,True,225,2003,60,11,False,2,2,True
27,300,480,6.0,9.6,3.5999999999999996,0.8034949870851729,0.3,4,9,False,False,True,227,2002,30,11,False,2,1,False
10,300,480,6.0,9.6,3.5999999999999996,0.8235079895919641,0.32558139534883723,26,31,False,False,True,227,2002,60,8,False,2,1,False
2,360,540,7.2,10.8,3.6000000000000005,0.8521241454182781,0.36363636363636365,8,22,False,False,True,240,2003,30,21,False,2,1,False
8,360,540,7.2,10.8,3.6000000000000005,0.8521241454182781,0.36363636363636365,8,22,False,False,True,240,2003,60,10,False,2,1,False
1,0,30,0.0,0.6,0.6,0.8662624455338677,0.45454545454545453,8,8,False,False,True,245,2001,10,61,False,2,1,False
1,0,30,0.0,0.6,0.6,0.8662624455338677,0.45454545454545453,8,8,False,False,True,245,2001,30,21,False,2,1,False
1,0,180,0.0,3.6,3.6,0.8788218841819554,0.46153846153846156,6,13,False,False,True,248,2001,30,21,False,2,1,False
1,0,180,0.0,3.6,3.6,0.8788218841819554,0.46153846153846156,6,13,False,False,True,248,2001,60,11,False,2,1,False
2,0,60,0.0,1.2,1.2,0.8012326755000452,0.3333333333333333,4,4,False,False,True,250,2003,10,61,False,2,1,False
2,0,60,0.0,1.2,1.2,0.8012326755000452,0.3333333333333333,4,4,False,False,True,250,2003,60,11,False,2,1,False
4,0,60,0.0,1.2,1.2,0.8409615121031458,0.4375,7,16,False,False,True,251,2003,10,61,False,2,1,False
4,0,60,0.0,1.2,1.2,0.8409615121031458,0.4375,7,16,False,False,True,251,2003,60,11,False,2,1,False
6,30,60,0.6,1.2,0.6,0.8369362592776117,0.37037037037037035,15,22,False,False,True,254,2001,10,14,False,2,1,False
4,30,60,0.6,1.2,0.6,0.8369362592776117,0.37037037037037035,15,22,False,False,True,254,2001,30,20,False,2,1,False
3,360,540,7.2,10.8,3.6000000000000005,0.8744721764603226,0.4782608695652174,22,46,False,False,True,263,2003,30,21,False,2,1,False
