law_index,condition,seed,n_meas,mean_P,mean_M,min_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_production,mean_activity,mean_entities
20,CLOSED,10003,75,0.9949389778287819,0.9926546839160397,0.4491598913505959,0,False,7,28,1,0.005824060873967373,0.005054845860402145,1.1290322580645162
20,OPEN,10001,0,,,1.0,0,False,4,1,0,0.03533043120205505,0.00987787431334916,0.12903225806451613
20,OPEN,10002,0,,,1.0,0,False,5,1,0,0.031551111734601296,0.007159962701410495,0.16129032258064516
20,OPEN,10003,1,0.7772946967037413,0.1224394816127743,0.1224394816127743,0,False,4,2,0,0.034205995836082956,0.008711376467452993,0.16129032258064516
21,CLOSED,10001,75,0.9952536515691867,0.99302273448012,0.47670508600904826,0,False,6,28,1,0.004503211391546293,0.003653250266347228,1.096774193548387
21,CLOSED,10002,75,0.993442008250132,0.9911357967361926,0.3351847552145102,0,False,6,28,1,0.0037108219034421817,0.0029953425052677493,1.096774193548387
21,CLOSED,10003,75,0.994836095224566,0.9925906385880305,0.4442987511083158,0,False,7,28,1,0.0062161010902977544,0.005336956759997901,1.1290322580645162
21,OPEN,10001,0,,,1.0,0,False,4,1,0,0.03533043120205505,0.00589093329442964,0.12903225806451613
21,OPEN,10002,0,,,1.0,0,False,3,1,0,0.035575739943841715,0.007699727531499501,0.0967741935483871
21,OPEN,10003,0,,,1.0,0,False,4,1,0,0.03635410551084376,0.005625702493205391,0.12903225806451613
22,CLOSED,10001,75,0.9951461569718899,0.9931258243227897,0.48443682420927076,0,False,6,28,1,0.004500558606843171,0.0035562095414694932,1.096774193548387
22,CLOSED,10002,80,0.9760508649315984,0.9693783927403544,0.29968369768550823,0,False,5,30,1,0.0037257894481935276,0.00292049889733257,1.096774193548387
22,CLOSED,10003,75,0.9946837025426883,0.9925885415234689,0.44414061888459605,0,False,7,28,1,0.006883854264138524,0.00582477661080457,1.1290322580645162
22,OPEN,10001,6,0.8253186445799162,0.48449562375320526,0.03339236926114433,1,False,32,5,0,0.027381223092866072,0.0033553752112816474,1.1612903225806452
22,OPEN,10002,9,0.8074234004871501,0.444074150307984,0.0014675435563783349,3,False,30,6,0,0.02743322835511658,0.00322295875745304,1.1612903225806452
22,OPEN,10003,11,0.7281370121034794,0.404674577891835,0.003955485788061621,1,False,28,7,0,0.026928735190617024,0.0031679374275952253,1.096774193548387
23,CLOSED,10001,74,0.9990669796060287,0.9999999999999992,0.9999999999999972,0,False,7,28,1,0.004544402897016466,0.0033994749496840454,1.096774193548387
23,CLOSED,10002,75,0.994815417129382,0.9936932636877503,0.5269947765813339,0,False,5,28,1,0.0036586128757374204,0.002597328900473014,1.064516129032258
23,CLOSED,10003,75,0.9933669938925287,0.992276830232888,0.4207622674666591,0,False,7,28,1,0.007893269935420997,0.006593791681606141,1.1290322580645162
23,OPEN,10001,4,0.8485349835964853,0.08930587196531353,0.009946907415453825,2,False,4,3,0,0.037441671700477006,0.0052680432471155555,0.25806451612903225
23,OPEN,10002,3,0.8282806667928159,0.012730299277232175,0.009391622138738126,3,False,3,2,0,0.03737887326721833,0.006689448878012069,0.1935483870967742
23,OPEN,10003,6,0.8672256056651934,0.19691762277011207,5.570083042571888e-06,4,False,4,4,0,0.03787567067445511,0.004748102827160024,0.2903225806451613
